Drive Monitor;V5.5 + SP2;V05.05.02.00_00.00.02.99;V05.05.02.00;
Drive Monitor Readme;V5.5 + SP2;V05.05.02.00_00.00.00.48;V5.5.2.0;
SIMATIC WinCC flexible Runtime;2008 SP5;V1.5.0.0_1.11.0.6;V1.5.0.0;
Automation License Manager;V6.2 + SP5;06.02.05.00_00.00.03.23;K6.2.5.0;
Drive ES MICROMASTER 4xx;V5.4 + SP4;V05.04.04.00_00.00.00.50;V05.04.04.00;
Drive ES MICROMASTER;V5.4;V05.04.00.00_00.00.00.59;V05.04.00.00;
Drive ES SIMADYN D;V5.4;V05.04.00.00_00.00.00.54;V05.04.00.00;
Drive ES SIPLINK;V5.4 + SP3;V05.04.03.00_00.00.00.10;V05.04.03.00;
Drive ES SIMOREG;V5.4 + SP3;V05.04.03.00_00.00.00.87;V05.04.03.00;
Drive ES SIMOVERT;V5.5;V05.05.00.00_00.00.01.75;V05.05.00.00;
S7-PLCSIM  Professional ;V5.4 + SP8;V05.04.08.01_01.24.00.01;K5.4.8.1;
SIMATIC ProSave;V17.0;V17.00.00.00_43.02.00.01;V17.00.00.00;
SIMATIC S7-Block Privacy;V1.0 + SP6;K1.0.6.0_4.1.0.1;K1.0.6.0;
SIMATIC S7-GRAPH Professional 2021;V5.7;V5.7.0.0_7.1.0.4;V5.7.0.0;
SIMATIC S7-SCL Professional 2021;V5.7;V5.7.0.0_6.1.0.1;V5.7.0.0;
Soft Starter ES;2007 + SP9;V2.0.9.0_1.1.0.26;V2.0.9.0;
SIRIUS engineering Components Global;1.0;---;V1.0.0.0;
STARTER;V5.7.0.2;V05.07.00.02_05.70.13.04;V5.7.0.2;
STEP 7;V5.7 + SP3;K5.7.3.0_15.1.0.2;K5.7.3.0;
SIMATIC S7-Web2PLC;V1.0 + SP5;K1.0.5.0_4.1.0.1;K1.0.5.0;
SIMATIC WinCC flexible;2008 SP5;V01.05.00.00_01.13.00.03;V1.5.0.0;
SIMATIC WinCC flexible;2008 SP5;V01.05.00.00_01.13.00.03;V1.5.0.0;
Automation Access Control Component;05.01;K05.01.02.00_00.00.00.02;---;
SIMATIC Colour Editor;5.2.5.0;K5.2.5.0_1.1.0.1;---;
dcblibv2_0_sinamics2_5_1;02.50.32.09;V02.50.32.09;---;
dcblibv2_0_sinamics2_6;02.60.55.00;V02.60.55.00;---;
dcblibv2_0_sinamics4_2;04.20.23.00;V04.20.23.00;---;
dcblibv2_0_sinamics4_3;04.30.21.02;V04.30.21.02;---;
dcblibv2_0_sinamics4_3_2;04.30.22.00;V04.30.22.00;---;
dcblibv3_0_sinamics4_4;04.40.09.00;V04.40.09.00;---;
dcblibv3_0_sinamics4_5;04.50.06.00;V04.50.06.00;---;
dcblibv3_0_sinamics4_6;04.60.07.00;V04.60.07.00;---;
dcblibv3_0_sinamics4_7;04.70.08.00;V04.70.08.00;---;
dcblibv3_0_sinamics4_8;04.80.11.00;V04.80.11.00;---;
dcblibv3_0_sinamics5_1;05.10.05.00;V05.10.05.00;---;
dcblibv3_0_sinamics5_1_1;05.10.08.00;V05.10.08.00;---;
DCC-Editor SINAMICS Shared;3.7.0.2;V03.07.00.02_05.70.13.04;---;
DCC-Help System Shared;3.7.0.2;V03.07.00.02_05.70.13.04;---;
Drive ES DriveConverter;5.4.3.0;V05.04.03.00_00.00.00.26;---;
Drive ES SlaveOM;6.7.0.2;V06.07.00.02_05.70.13.04;---;
Drive ES USSParam;5.5.1.0;V05.05.01.00_00.00.00.95;---;
License Logon Interface;5.0;05.00.00.00_01.04.00.01;---;
SIEMENS OPC;3.9;03.09.11.01_01.01.00.02;---;
SIRIUS engineering Soft Starter PN STEP7 Integration;2.0;V02.00.09.00_01.01.00.01;---;
SIRIUS engineering Soft Starter STEP7 Integration;2.0;V02.00.09.00_01.01.00.01;---;
SIMATIC HMI ProSave;17.0.0.0;V17.00.00.00_43.02.00.01;---;
SIMATIC HMI Symbol Library;17.0.0.0;V17.00.00.00_43.02.00.01;---;
SIMATIC HMI Touch Input;17.0.0.0;V17.00.00.00_43.02.00.01;---;
SIMATIC Version View;1.8.0.0;V1.8.0.0_3.1.0.1;---;
SIMATIC Common Services;5.3.17.0;K5.3.17.0_1.1.0.1;---;
SIMATIC Device Drivers WoW;29.4;29.04.01.00_01.03.00.20;---;
SIMATIC Event Database;5.7;05.07.02.03_01.01.00.01;---;
SIMATIC GRAPH-Visualisierung;5.2.4.0;K5.2.4.0_1.1.0.1;---;
SIMATIC GSD CONTROL;3.5.7.0;K3.5.7.0_2.1.0.1;---;
SIMATIC GSD Interpreter;3.2.0.0;V3.2.0.0_2.1.0.1;---;
SIMATIC Interface Editor;5.5.0.0;V5.5.0.0_3.1.0.1;---;
SIMATIC Extended Interfaces;5.7.0.0;V5.7.0.0_5.1.0.1;---;
SIMATIC IVar-Interface;5.8;R5.8.13.0;---;
SIMATIC LanguageSupportTool;5.8.5.0;K5.8.5.0_2.1.0.1;---;
SIMATIC Condition Editor;5.6.2.0;K5.6.2.0_1.1.0.1;---;
SIMATIC NCM;5.7.3.0;K5.7.3.0_15.1.0.2;---;
SIMATIC Process Diagnosis Base;5.7.3.0;K5.7.3.0_5.1.0.1;---;
SIMATIC Process Diagnosis Database;5.7.3.0;K5.7.3.0_5.1.0.1;---;
SIMATIC DIAGNOSTIC REPEATER GUI CTRL;5.2.4.0;K5.2.4.0_2.1.0.1;---;
SIMATIC Grid Control;3.1.1.0;K3.1.1.0_1.1.0.1;---;
SIMATIC S7-Status-OCX;5.4.0.0;V5.4.0.0_4.1.0.1;---;
SIMATIC Technological Parameter Assignment;5.4.0.0;V5.4.0.0_1.1.0.1;---;
SIMATIC X-Ref Control;5.3.0.0;V5.3.0.0_4.1.0.1;---;
SIMATIC STEP 7 Help Viewer;2.0.1.0;K2.0.1.0_2.1.0.1;---;
SIMATIC SCL Compiler;5.7.0.0;V5.7.0.0_4.1.0.1;---;
SCOUT STARTER Components;5.7.0.2;V05.07.00.02_05.70.13.04;---;
SeCon;2.7;V02.07.02.00_01.01.00.04;---;
SIMOTION DeviceOM;5.7.0.2;V05.07.00.02_05.70.13.04;---;
SIMOTION OM;5.7.0.2;V05.07.00.02_05.70.13.04;---;
SIRIUS engineering DPV1 Driver;3.14;V3.14.0.0_1.1.0.16;---;
SIRIUS engineering PROFINET IO Driver;1.9;V1.9.0.0_1.1.0.16;---;
SIRIUS engineering RS232 Driver;3.14;V3.14.0.0_1.1.0.16;---;
SIRIUS engineering S7 Driver;1.13;V1.13.0.0_1.1.0.16;---;
SIRIUS engineering DTM Soft Starter;2.0;V2.0.9.0_1.1.0.25;---;
SIRIUS engineering Application;4.11;V4.11.0.0_1.1.0.16;---;
SIRIUS engineering HW Catalog;3.14;V3.14.0.0_1.1.0.16;---;
SIRIUS engineering Group functions;2.5;V2.5.0.0_1.1.0.16;---;
SIRIUS engineering Language Server;1.8;V1.8.0.0_1.1.0.9;---;
SIRIUS engineering LSP Manager;1.8;V1.8.0.0_1.1.0.9;---;
SIRIUS engineering Message Server;3.14;V3.14.0.0_1.1.0.16;---;
SIRIUS engineering Print Control;1.13;V1.13.0.0_1.1.0.16;---;
SIRIUS engineering Report Server;1.11;V1.11.0.0_1.1.0.3;---;
SIRIUS engineering Line View;3.14;V3.14.0.0_1.1.0.16;---;
SSP SIMOTION SINAMICS Int V2.6 SP2;02.62.20.00;V02.60.42.00_07.13.00.00;---;
SSP SIMOTION SINAMICS Int V4.4;04.40.20.00;V04.40.23.15_11.11.00.00;---;
SSP SIMOTION SINAMICS Int V4.5;04.50.21.01;V04.59.30.76_14.16.01.00;---;
SSP SIMOTION SINAMICS Int V4.7;04.70.10.06;V04.70.35.84_19.10.18.00;---;
SSP SIMOTION SINAMICS Int V4.8;04.80.21.02;V04.80.65.90_02.10.60.05;---;
SSP SIMOTION SINAMICS Int V5.1;05.10.11.01;V05.10.23.03_02.50.13.01;---;
SSP SIMOTION SINAMICS Int V5.2;06.05.03.00;V05.20.28.00_06.50.21.00;---;
SSP SIMOTION SINAMICS Int V5.2 SP3;07.01.03.01;V05.20.73.29_07.10.17.02;---;
SSP SINAMICS DCM V1.1;01.10.30.00;V01.10.40.00_11.00.00.00;---;
SSP SINAMICS DCM V1.2;01.20.30.00;V01.20.17.00_11.00.00.00;---;
SSP SINAMICS DCM V1.3;01.30.20.01;V01.30.11.00_11.11.02.00;---;
SSP SINAMICS DCM V1.4;01.40.11.01;V01.40.09.00_14.15.01.00;---;
SSP SINAMICS DCM V1.4 SP1;01.41.10.02;V01.40.20.02_19.48.02.00;---;
SSP SINAMICS DCM V1.5;06.03.00.02;V01.50.25.10_06.30.14.02;---;
SSP SINAMICS DCM V1.5 SP1;07.07.00.00;V01.50.34.00_07.70.07.00;---;
SSP SINAMICS DCP V1.1;01.10.01.04;V01.10.08.06_19.22.05.00;---;
SSP SINAMICS DCP V1.2;01.20.01.02;V01.20.08.00_19.81.03.00;---;
SSP SINAMICS DCP V1.3;06.06.00.00;V01.30.15.00_06.60.14.00;---;
SSP SINAMICS DCP V1.4;07.04.01.00;V01.40.08.00_07.40.05.00;---;
SSP SINAMICS G110D V3.3;03.30.20.00;V03.30.23.00_07.13.00.00;---;
SSP SINAMICS G110D V3.4;03.40.20.00;V03.40.08.00_07.13.00.00;---;
SSP SINAMICS G110D V3.6;03.60.10.00;V03.60.03.00_14.09.00.00;---;
SSP SINAMICS G110D V3.7;03.70.10.00;V03.70.00.00_02.20.01.00;---;
SSP SINAMICS G110M V4.6;04.60.10.06;V04.60.21.28_14.04.12.00;---;
SSP SINAMICS G110M V4.7;04.70.10.01;V04.70.35.00_19.13.01.00;---;
SSP SINAMICS G110M V4.7 SP10;06.01.00.01;V04.71.14.00_06.10.10.01;---;
SSP SINAMICS G110M V4.7 SP13;06.09.00.03;V04.71.52.00_06.90.11.06;---;
SSP SINAMICS G110M V4.7 SP14;07.06.00.04;V04.71.68.00_07.60.15.04;---;
SSP SINAMICS G110M V4.7 SP3;04.73.10.00;V04.70.64.00_19.46.00.00;---;
SSP SINAMICS G110M V4.7 SP6;04.76.10.02;V04.70.83.00_19.66.06.00;---;
SSP SINAMICS G110M V4.7 SP9;04.79.10.02;V04.71.04.00_02.40.14.04;---;
SSP SINAMICS G120D V4.5;04.50.20.00;V04.50.30.01_14.00.00.00;---;
SSP SINAMICS G120P BT V4.4 SP1;04.41.20.02;V04.40.30.00_11.11.04.00;---;
SSP SINAMICS G120P BT V4.6;04.60.10.01;V04.60.21.03_14.04.02.00;---;
SSP SINAMICS G120P BT V4.7;04.70.10.00;V04.70.35.00_19.10.00.00;---;
SSP SINAMICS G120P BT V4.7 SP10;06.01.00.00;V04.71.14.00_06.10.10.00;---;
SSP SINAMICS G120P BT V4.7 SP13;06.09.00.03;V04.71.52.00_06.90.11.06;---;
SSP SINAMICS G120P BT V4.7 SP14;07.06.00.04;V04.71.68.00_07.60.15.04;---;
SSP SINAMICS G120P BT V4.7 SP3;04.73.10.00;V04.70.64.00_19.46.00.00;---;
SSP SINAMICS G120P BT V4.7 SP6;04.76.10.02;V04.70.83.00_19.66.06.00;---;
SSP SINAMICS G120P BT V4.7 SP9;04.79.10.02;V04.71.04.00_02.40.14.04;---;
SSP SINAMICS G120 CU250S VECTOR V4.6;04.60.11.00;V04.60.21.03_14.13.00.00;---;
SSP SINAMICS G120 V3.2 SP2;03.22.20.00;V03.22.02.00_07.13.00.00;---;
SSP SINAMICS G120 V4.2;04.20.20.00;V04.20.07.00_07.13.00.00;---;
SSP SINAMICS G120 V4.3;04.30.20.00;V04.30.13.00_07.13.00.00;---;
SSP SINAMICS G120 V4.3 SP2;04.32.20.00;V04.30.28.00_07.13.00.00;---;
SSP SINAMICS G120 V4.4;04.40.20.00;V04.40.23.15_11.00.00.00;---;
SSP SINAMICS G120 V4.5;04.50.20.00;V04.50.30.01_14.00.00.00;---;
SSP SINAMICS G120 V4.6;04.60.11.00;V04.60.21.00_14.12.00.00;---;
SSP SINAMICS G120 V4.7;04.70.10.00;V04.70.35.00_19.10.00.00;---;
SSP SINAMICS G120 V4.7 SP10;06.01.00.01;V04.71.14.00_06.10.10.01;---;
SSP SINAMICS G120 V4.7 SP13;06.09.00.03;V04.71.52.00_06.90.11.06;---;
SSP SINAMICS G120 V4.7 SP14;07.06.00.04;V04.71.68.00_07.60.15.04;---;
SSP SINAMICS G120 V4.7 SP3;04.73.10.00;V04.70.64.00_19.46.00.00;---;
SSP SINAMICS G120 V4.7 SP6;04.76.10.02;V04.70.83.00_19.66.06.00;---;
SSP SINAMICS G120 V4.7 SP9;04.79.10.02;V04.71.04.00_02.40.14.04;---;
SSP SIMOTION SINAMICS SM150i V2.6 SP1;02.61.20.00;V02.60.35.00_07.13.00.00;---;
SSP SIMOTION SINAMICS SM150i V2.6 SP2;02.62.20.00;V02.60.42.00_07.13.00.00;---;
SSP SIMOTION SINAMICS SM150i V4.5;04.50.21.01;V04.59.30.76_14.16.01.00;---;
SSP SIMOTION SINAMICS SM150i V4.7;04.70.10.06;V04.70.35.84_19.10.18.00;---;
SSP SINAMICS MV V4.4 SP2;04.42.20.01;V04.40.35.00_11.11.05.00;---;
SSP SINAMICS MV V4.5;04.50.21.01;V04.59.30.76_14.16.01.00;---;
SSP SINAMICS MV V4.6;04.60.11.01;V04.60.21.00_14.12.01.00;---;
SSP SINAMICS MV V4.7;04.70.10.02;V04.72.32.90_19.17.02.00;---;
SSP SINAMICS MV V4.7 SP4;04.74.10.00;V04.72.44.00_19.38.00.00;---;
SSP SINAMICS MV V4.7 SP5;04.75.10.00;V04.72.68.00_19.77.00.00;---;
SSP SINAMICS MV V4.7 SP7;04.77.10.00;V04.72.78.00_02.20.18.00;---;
